Date,SPX_Price,VIX,R10_Yield,Short_Rate,HY_Spread,BCRED_Spread,Is_Simulated
Jan 1974,96.0,15.0,7.5,7.0,4.5,,TRUE
Feb 1974,98.77,25.0,7.7,6.77,7.0,,TRUE
Mar 1974,96.4,25.0,8.1,7.22,7.0,,TRUE
Apr 1974,92.72,25.0,8.52,7.14,7.0,,TRUE
May 1974,89.2,25.0,8.73,7.96,7.0,,TRUE
Jun 1974,79.07,25.0,8.88,8.83,7.0,,TRUE
Jul 1974,79.77,25.0,8.86,8.37,7.0,,TRUE
Aug 1974,85.99,25.0,8.78,8.49,7.0,,TRUE
Sep 1974,77.78,25.0,8.84,7.8,7.0,,TRUE
Oct 1974,71.63,25.0,8.83,7.77,7.0,,TRUE
Nov 1974,69.66,25.0,9.0,8.3,7.0,,TRUE
Dec 1974,68.91,25.0,8.98,7.05,7.0,,TRUE
Jan 1975,63.17,25.0,8.87,7.46,7.0,,TRUE
Feb 1975,57.51,25.0,9.0,8.98,7.0,,TRUE
Mar 1975,57.52,25.0,9.0,7.63,7.0,,TRUE
Apr 1975,51.84,25.0,9.0,8.15,7.0,,TRUE
May 1975,54.61,25.0,8.96,8.19,7.0,,TRUE
Jun 1975,55.13,25.0,9.0,8.88,7.0,,TRUE
Jul 1975,56.6,25.0,9.0,8.34,7.0,,TRUE
Aug 1975,53.19,25.0,9.0,7.53,7.0,,TRUE
Sep 1975,55.77,25.0,9.0,7.83,7.0,,TRUE
Oct 1975,51.51,25.0,9.0,8.09,7.0,,TRUE
Nov 1975,55.18,25.0,8.86,7.45,7.0,,TRUE
Dec 1975,55.83,25.0,8.95,7.44,7.0,,TRUE
Jan 1976,60.18,26.58,8.84,7.86,6.82,,TRUE
Feb 1976,60.88,25.01,8.53,7.68,6.75,,TRUE
Mar 1976,59.92,24.23,8.29,6.55,6.49,,TRUE
Apr 1976,58.94,24.67,8.17,7.0,6.19,,TRUE
May 1976,58.51,25.16,8.18,7.53,6.04,,TRUE
Jun 1976,58.96,24.23,8.1,6.97,5.59,,TRUE
Jul 1976,57.28,22.0,8.03,7.21,5.2,,TRUE
Aug 1976,58.37,24.72,7.98,6.89,5.21,,TRUE
Sep 1976,65.28,23.21,7.93,6.9,4.75,,TRUE
Oct 1976,69.12,21.91,7.87,7.46,4.79,,TRUE
Nov 1976,65.28,19.06,7.91,6.21,4.92,,TRUE
Dec 1976,66.06,16.47,7.93,7.21,5.32,,TRUE
Jan 1977,67.97,16.38,7.84,7.37,4.92,,TRUE
Feb 1977,70.97,14.61,7.71,6.87,5.19,,TRUE
Mar 1977,72.09,17.28,7.54,7.35,5.17,,TRUE
Apr 1977,74.32,14.47,7.53,7.19,5.26,,TRUE
May 1977,75.65,15.24,7.52,6.86,5.23,,TRUE
Jun 1977,72.17,18.93,7.52,6.28,5.02,,TRUE
Jul 1977,70.04,19.92,7.54,5.96,4.77,,TRUE
Aug 1977,69.79,20.83,7.6,5.65,4.82,,TRUE
Sep 1977,71.39,18.32,7.49,6.53,4.61,,TRUE
Oct 1977,71.07,17.85,7.48,5.75,4.77,,TRUE
Nov 1977,73.15,15.71,7.71,7.25,4.87,,TRUE
Dec 1977,70.91,16.55,7.65,6.69,4.97,,TRUE
Jan 1978,67.47,18.03,7.46,6.36,4.84,,TRUE
Feb 1978,68.15,15.81,7.44,6.37,4.88,,TRUE
Mar 1978,71.89,16.81,7.29,5.75,4.91,,TRUE
Apr 1978,74.1,17.57,7.12,5.86,4.68,,TRUE
May 1978,76.83,19.45,7.47,5.99,4.78,,TRUE
Jun 1978,75.73,17.24,7.4,6.52,4.9,,TRUE
Jul 1978,70.8,13.17,7.37,6.03,5.33,,TRUE
Aug 1978,69.05,13.57,7.29,6.82,5.46,,TRUE
Sep 1978,67.54,14.22,7.32,6.29,5.22,,TRUE
Oct 1978,66.04,10.29,7.49,6.4,5.27,,TRUE
Nov 1978,69.11,10.76,7.54,6.29,5.04,,TRUE
Dec 1978,75.12,10.45,7.38,6.71,4.92,,TRUE
Jan 1979,79.17,12.97,7.39,5.33,4.62,,TRUE
Feb 1979,81.34,15.81,7.2,6.55,4.51,,TRUE
Mar 1979,78.2,15.57,7.24,6.62,4.33,,TRUE
Apr 1979,77.24,18.75,7.18,6.89,4.1,,TRUE
May 1979,77.86,15.31,7.16,5.57,4.42,,TRUE
Jun 1979,78.68,15.66,7.02,6.32,4.52,,TRUE
