Date,SPX_Price,SPX_Monthly_Return,SPX100_Price,SPX100_Monthly_Return,NASDAQ_Price,NASDAQ_Monthly_Return,SPX100_Vol,NASDAQ_Vol,VIX,R10_Yield,Short_Rate,HY_Spread,BCRED_Spread,Dividend_Yield,Monthly_Dividend_Return,PE_Monthly_Return,Bond_Monthly_Return,BCRED_Monthly_Return,Is_Simulated,SPX_Source,SPX100_Source,NASDAQ_Source,SPX100_Vol_Source,NASDAQ_Vol_Source,VIX_Source,R10_Source,Short_Rate_Source,HY_Spread_Source,Dividend_Source,Dividend_Return_Source,PE_Source,Bond_Source,BCRED_Source,VIX_Term_Source
Jan 1934,10.5904460000,0.0571715145,10.5904460000,0.0571715145,10.5904460000,0.0571715145,75.7904330000,75.7904330000,75.7904330000,3.1200000000,0.7200000000,4.5000000000,,4.1821630000,0.0036843865,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Feb 1934,11.3741800000,0.0740037951,11.3741800000,0.0740037951,11.3741800000,0.0740037951,68.2806610000,68.2806610000,68.2806610000,3.0925000000,0.6200000000,4.5000000000,,3.9019430000,0.0034922517,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Mar 1934,10.7914040000,-0.0512367491,10.7914040000,-0.0512367491,10.7914040000,-0.0512367491,70.5344480000,70.5344480000,70.5344480000,3.0650000000,0.2400000000,4.5000000000,,4.1201120000,0.0032575088,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Apr 1934,10.9722650000,0.0167597765,10.9722650000,0.0167597765,10.9722650000,0.0167597765,69.8155100000,69.8155100000,69.8155100000,3.0375000000,0.1500000000,4.5000000000,,4.0595240000,0.0034396338,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
May 1934,9.8569520000,-0.1016483516,9.8569520000,-0.1016483516,9.8569520000,-0.1016483516,53.0249550000,53.0249550000,53.0249550000,3.0100000000,0.1600000000,4.5000000000,,4.5280330000,0.0033898046,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Jun 1934,9.9875750000,0.0132517839,9.9875750000,0.0132517839,9.9875750000,0.0132517839,41.0878090000,41.0878090000,41.0878090000,2.9825000000,0.1500000000,4.5000000000,,4.4768610000,0.0037801563,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Jul 1934,9.5153250000,-0.0472837022,9.5153250000,-0.0472837022,9.5153250000,-0.0472837022,37.9276070000,37.9276070000,37.9276070000,2.9550000000,0.1500000000,4.5000000000,,4.7074970000,0.0037374245,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Aug 1934,9.1435540000,-0.0390707497,9.1435540000,-0.0390707497,9.1435540000,-0.0390707497,37.5527640000,37.5527640000,37.5527640000,2.9275000000,0.1900000000,4.5000000000,,4.9087910000,0.0039308342,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Sep 1934,8.9225010000,-0.0241758242,8.9225010000,-0.0241758242,8.9225010000,-0.0241758242,37.6199150000,37.6199150000,37.6199150000,2.9000000000,0.2100000000,4.5000000000,,5.0394140000,0.0040979853,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Oct 1934,8.9928360000,0.0078828829,8.9928360000,0.0078828829,8.9928360000,0.0078828829,33.2734240000,33.2734240000,33.2734240000,2.8725000000,0.2700000000,4.5000000000,,5.0089390000,0.0042070195,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Nov 1934,9.2440330000,0.0279329609,9.2440330000,0.0279329609,9.2440330000,0.0279329609,33.4142110000,33.4142110000,33.4142110000,2.8450000000,0.2500000000,4.5000000000,,4.8826090000,0.0041824953,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Dec 1934,9.3043200000,0.0065217391,9.3043200000,0.0065217391,9.3043200000,0.0065217391,33.1402150000,33.1402150000,33.1402150000,2.8175000000,0.2300000000,4.5000000000,,4.8596110000,0.0040760870,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Jan 1935,9.3043200000,0.0000000000,9.3043200000,0.0000000000,9.3043200000,0.0000000000,30.5220140000,30.5220140000,30.5220140000,2.7900000000,0.2000000000,4.5000000000,,4.8596110000,0.0040496760,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
Feb 1935,9.0229800000,-0.0302375810,9.0229800000,-0.0302375810,9.0229800000,-0.0302375810,25.0497460000,25.0497460000,25.0497460000,2.7783330000,0.1900000000,4.5000000000,,5.0111360000,0.0040496760,,,,True,SHILLER_SP_COMPOSITE_PRICE_RETURN,SPX_PRICE_PROXY_PRE_OEX_HISTORY,SPX_PRICE_PROXY_PRE_NDX_HISTORY,VIX_PROXY_FOR_SPX100_OPTIONS,VIX_PROXY_FOR_NASDAQ_OPTIONS_PRE_VXN,SHILLER_REALIZED_VOL_PROXY_PRE_1990,GSI_R10_PROXY_SIMULATED,GSI_SHORT_PROXY_SIMULATED,GSI_JUNK_SPREAD_PROXY_SIMULATED,DQYDJ_SHILLER_TTM_DIVIDEND_YIELD,SHILLER_MONTHLY_DIVIDEND_RETURN,PE_PROXY_ARRAY_NO_OFFICIAL_PUBLIC_SERIES,BOND_PROXY_ARRAY,NO_BCRED_HISTORY,MEAN_REVERSION_PROXY
